name,raw_review,date
jane Campolina,O aplicativo é resolutivo mas para mim o grande problema é o valor de pagamento diario diminuir sem você solicitar. Na hora que está contando com ele para realizar um pagamento você é obrigado a ir a um caixa eletronico desbloquear um valor que ja estava utilizando anteriormente.,11 de janeiro de 2020
Feliciano Brancarto,"Estou com problemas no aplicativo. Sou não correntista, tenho apenas o cartão de crédito e quando entro o app pra verificar informações como saldo, fatura... O app informa ""não a cartões para esse cliente"" favor me auxiliar.",18 de janeiro de 2020
Diego Diniz,"O app é excelente e muito bem feito mas uma coisa chamou a atenção, por que habilitaram a opção de colocar foto de ""perfil"" se não fizeram isso direito. Já viram a qualidade péssima da foto? Da uma moral pra isso ou tirem que fica melhor",22 de janeiro de 2020
Raimundo Nonato,"Plena satisfação conta app, com ele ñ preciso de ir à gencia para fazer pagamentos, transferência é demais serviços, mas falta informações sobre o BB como ñ solicitamos do cliente para digitar número de senha, ñ enviamos pessoas para retirar o cartão em casa!",24 de janeiro de 2020
Heleno Alcantara,"Esse Aplicativo é excelente! tem todas as funcionalidades necessárias, inclusive o informe de rendimento anual para declaração do imposto de renda, isso é muito bom, evita de se ir ao banco pegar, parabéns aos seus desenvolvedores.",22 de janeiro de 2020
Vinícius Garcia,"Melhor do que muito aplicativos bancários, porém tenho muita dificuldade em organizar meu extrato bancário, assim, gostaria se possível da implementação da possibilidade de inserir comentário no embaixo das operações, mesmo que com poucos caracteres",23 de janeiro de 2020
Felipe Lucas,"O aplicativo em si é perfeito, tirando a parte do atendimento Virtual, onde tento resolver ou solicitar alguma proposta, do nada o atendente encerra sem acabar a solicitação. Isso é um constrangimento.",16 de janeiro de 2020
Ione Aparecida De Souza,"Toda vez que preciso, nao consigo usar. Ele pede pra habilitar no site o cel...entro no gerenciador para fazer nao consigo por precisa do BBCODE que esta no cel para habilitar, quer dizer um círculo vicioso que me deixa com raiva por que fico na mão.",18 de janeiro de 2020
Taís Forgearini,"A última atualização desabilitou meu aparelho. Aparece que o dispositivo não está habilitado, sendo que fiz no caixa eletrônico e estava funcionando antes da atualização do aplicativo. Aguardo solução.",15 de janeiro de 2020
Jose Eduardo Palota,"Não consigo habilitar o meu BB Conde. Meu limite para transferências é vergonhosamente baixo considerando meus saldos. Não consigo fazer pagamentos ou transferências, até parece que o saldo não é meu, deve ser do banco.",26 de janeiro de 2020
Lucas Albuquerque,"Sempre funcionou bem, mas como li em um outro comentário também me incomoda a data padrão de pagamento do boleto ser a da validade, já passou despercebido por mim algumas vezes e quando achei que tinha pago algo, ainda nao tinha sido debitado",25 de janeiro de 2020
Inara Sejanes,"Fui ao BB atendente disse q poderia fazer transferência. Tenho 84 anos sem condições de sair, tentei fazer transferência e diz que minha senha tá bloqueada. O dinheiro é meu e não posso usar. Nota 0000 pra vocês",23 de janeiro de 2020
Gillmara Figueredo,"O app esta com bug no perfil, tento acessar, mas a tela fica abrindo e fechando sem condições de clicar em nenhuma das opções de perfil geral. Vi reclamação pelo mesmo motivo no dia 10, ja se passaram 8 dias e nada resolvido",18 de janeiro de 2020
Cláudio Zimmermann,"As notificações de débito deveriam ser informadas gratuitamente. Atualmente é muito fácil essa operação de informação. Já pagamos a manutenção de conta, que não é pouco.... Tem bancos que oferecem esse serviço gratuitamente.",22 de janeiro de 2020
Lucas Rocha,"Excelente app, só não sei porque só aparece extrato da minha conta corrente é o da poupança não aparece, não tem como mostrar o extrato dos dois na tela inicial seria bacana se pudesse. Fora isso um 5.",21 de janeiro de 2020
Junior parabéns bem criativo,"Muito pratico,com opçoes de consultas bem como pagamento de contas sem precisar sair de casa. Seria bom se houvesse a possibilidade tambem de pagar contas estando essas em atraso,onde o cliente lançaria juros de mora,mas mesmo assim atende as necessidades.",24 de janeiro de 2020
